SC3.UTCGregorian           SC3.SC3VNB.X              SC3.SC3VNB.Y              SC3.SC3VNB.Z              SC3.SC3VNB.VX             SC3.SC3VNB.VY             SC3.SC3VNB.VZ             
01 Jan 2028 00:00:00.000   -3.553212404782428        0                         540.807306078938          0.1050278697402956        -1.301042606982605e-17    1.734723475976807e-18     
01 Jan 2028 00:01:00.000   -5.309015909796329        0                         540.7412696892598         0.1050577108928263        -8.673617379884035e-19    0                         
01 Jan 2028 00:02:08.016   -7.291393657136133        0                         540.6348808143817         0.1051008381615909        2.168404344971009e-18     8.673617379884035e-19     
01 Jan 2028 00:03:32.918   -9.751181018834583        0                         540.4553656779722         0.1051684994200712        5.854691731421724e-18     2.602085213965211e-18     
01 Jan 2028 00:05:03.510   -12.35393220299403        0                         540.2071205953886         0.1052575597305777        2.818925648462312e-18     -2.168404344971009e-18    
01 Jan 2028 00:06:57.358   -15.5860581704846         0                         539.8132105363399         0.1053940198891153        -4.87890977618477e-19     2.38524477946811e-18      
01 Jan 2028 00:09:11.555   -19.32954135102663        0                         539.233826341085          0.1055896541289934        -8.673617379884035e-19    4.336808689942018e-19     
01 Jan 2028 00:12:20.278   -24.44733207897943        0                         538.2143701186407         0.1059275430444237        2.168404344971009e-18     8.673617379884035e-19     
01 Jan 2028 00:14:24.000   -27.69363851673355        0                         537.4207482977827         0.1061881546756267        -6.938893903907228e-18    1.734723475976807e-18     
01 Jan 2028 00:16:37.420   -31.08453531970036        -2.842170943040401e-14    536.4582792623278         0.1065031529933287        1.734723475976807e-18     0                         
01 Jan 2028 00:19:11.434   -34.84211004613634        0                         535.2156778014462         0.1069095746436725        4.336808689942018e-18     0                         
01 Jan 2028 00:21:45.533   -38.41747148772919        -2.842170943040401e-14    533.8388237709611         0.1073608103129502        6.071532165918825e-18     0                         
01 Jan 2028 00:25:08.321   -42.81534948986575        2.842170943040401e-14     531.8376908517926         0.1080199822198518        -3.469446951953614e-18    3.469446951953614e-18     
01 Jan 2028 00:28:48.000   -47.15169331920723        -2.842170943040401e-14    529.4493673008507         0.1088136578406556        1.040834085586084e-17     0                         
01 Jan 2028 00:32:24.132   -50.9507377119495         -2.842170943040401e-14    526.9020823184953         0.1096700189023555        1.734723475976807e-18     6.938893903907228e-18     
01 Jan 2028 00:36:29.865   -54.67223609430413        5.684341886080801e-14     523.8030178794575         0.1107271011373363        -3.469446951953614e-18    -6.938893903907228e-18    
01 Jan 2028 00:40:45.079   -57.83230511150157        0                         520.3982994691778         0.1119091276495721        -6.938893903907228e-18    -6.938893903907228e-18    
01 Jan 2028 00:43:12.000   -59.31620034556346        2.842170943040401e-14     518.3701382402043         0.1126240440149366        0                         0                         
01 Jan 2028 00:45:50.249   -60.63615966537935        -2.842170943040401e-14    516.1424236747742         0.1134189008776739        3.469446951953614e-18     -6.938893903907228e-18    
01 Jan 2028 00:48:51.889   -61.79295660171067        0                         513.5439676363413         0.1143590522896265        3.469446951953614e-18     0                         
01 Jan 2028 00:52:13.259   -62.62737207810036        0                         510.6301650637795         0.1154303708939288        -3.469446951953614e-18    -1.387778780781446e-17    
01 Jan 2028 00:55:37.857   -62.99559418993658        0                         507.6553150588789         0.1165431852537955        0                         0                         
01 Jan 2028 00:57:36.000   -62.99054235501418        0                         505.9394114441928         0.1171939735846126        -3.469446951953614e-18    6.938893903907228e-18     
01 Jan 2028 01:00:33.214   -62.68893273275475        2.842170943040401e-14     503.3788735528461         0.1181774180114141        -3.469446951953614e-18    0                         
01 Jan 2028 01:04:00.938   -61.89575681155353        -1.4210854715202e-14      500.4137247583998         0.1193349361516528        3.469446951953614e-18     6.938893903907228e-18     
01 Jan 2028 01:07:44.670   -60.52768316293802        -1.4210854715202e-14      497.2861009031857         0.1205778927191769        3.469446951953614e-18     -1.387778780781446e-17    
01 Jan 2028 01:11:38.048   -58.55714148986436        0                         494.1222064620699         0.121858514315031         1.387778780781446e-17     0                         
01 Jan 2028 01:12:00.000   -58.34426197671792        -4.263256414560601e-14    493.8307139388417         0.1219776822084453        -6.938893903907228e-18    0                         
01 Jan 2028 01:12:30.764   -58.0381468080202         0                         493.424124221024          0.1221442381770936        -6.938893903907228e-18    6.938893903907228e-18     
01 Jan 2028 01:13:16.669   -57.56465405155171        -2.842170943040401e-14    492.8217195964282         0.1223917236939974        -6.938893903907228e-18    0                         
01 Jan 2028 01:14:15.130   -56.93299820316241        -2.842170943040401e-14    492.0622226526572         0.122704965653962         0                         0                         
01 Jan 2028 01:15:51.754   -55.81999883616891        -1.4210854715202e-14      490.8267896081861         0.1232174022581121        0                         6.938893903907228e-18     
01 Jan 2028 01:18:00.671   -54.20490076388728        -1.4210854715202e-14      489.219551636818          0.1238894314633489        0                         0                         
01 Jan 2028 01:20:57.019   -51.76492220080601        4.263256414560601e-14     487.1035400059695         0.1247834192271977        6.938893903907228e-18     6.938893903907228e-18     
01 Jan 2028 01:25:25.573   -47.57136158775904        2.842170943040401e-14     484.0839178296425         0.1260770948434214        1.387778780781446e-17     0                         
01 Jan 2028 01:26:24.000   -46.58758181548149        -2.842170943040401e-14    483.4619923451787         0.1263461089524078        0                         -6.938893903907228e-18    
01 Jan 2028 01:27:34.941   -45.36073185104121        -2.842170943040401e-14    482.7246295517403         0.1266661654079176        0                         0                         
01 Jan 2028 01:29:21.609   -43.45162817799127        0                         481.653683057029          0.127133120527044         0                         6.938893903907228e-18     
01 Jan 2028 01:31:33.936   -40.98124046293495        -4.263256414560601e-14    480.39049568984           0.127687001674699         0                         0                         
