MotherShip.UTCGregorian   MotherShip.motherVNB.X    MotherShip.motherVNB.Y    MotherShip.motherVNB.Z    MotherShip.motherVNB.VX   MotherShip.motherVNB.VY   MotherShip.motherVNB.VZ   
01 Jan 2028 05:02:24.000   -975.7999597988344        -9.094947017729282e-13    48585.78190937315         2.628357682185435         1.387778780781446e-17     1.561251128379126e-16     
01 Jan 2028 05:16:48.000   -939.6601389671501        9.094947017729282e-13     48541.71009363068         2.62732232763823          -1.387778780781446e-17    -4.85722573273506e-17     
01 Jan 2028 05:31:12.000   -901.3421770483704        9.094947017729282e-13     48499.37208315014         2.626273828134017         -4.163336342344337e-17    -1.162264728904461e-16    
01 Jan 2028 05:45:36.000   -860.9247142419019        0                         48458.86480801865         2.625215148002899         -2.775557561562891e-17    -9.8879238130678e-17      
01 Jan 2028 06:00:00.000   -818.4905888304621        0                         48420.28125802804         2.624149271289099         0                         -5.377642775528102e-17    
01 Jan 2028 06:14:24.000   -774.1266805133762        0                         48383.71031258174         2.623079192337872         0                         -1.491862189340054e-16    
01 Jan 2028 06:28:48.000   -727.9237180518076        0                         48349.23656641272         2.62200790789836          2.775557561562891e-17     5.204170427930421e-17     
01 Jan 2028 06:43:12.000   -679.9761168759634        -9.094947017729282e-13    48316.94017781937         2.620938408251408         0                         -1.422473250300982e-16    
01 Jan 2028 06:57:36.000   -630.3817799159166        0                         48286.8967125159          2.619873669725952         0                         -1.040834085586084e-17    
01 Jan 2028 07:12:00.000   -579.241921365735         -4.547473508864641e-13    48259.17702639016         2.6188166474912           0                         -1.040834085586084e-17    
01 Jan 2028 07:26:24.000   -526.660859500931         0                         48233.84711266762         2.617770267536945         -2.775557561562891e-17    -2.42861286636753e-17     
01 Jan 2028 07:40:48.000   -472.7458267714208        0                         48210.96800245496         2.61673742002967          -2.775557561562891e-17    6.938893903907228e-18     
01 Jan 2028 07:55:12.000   -417.606735772128         0                         48190.59565485912         2.615720952885033         0                         2.081668171172169e-17     
01 Jan 2028 08:09:36.000   -361.3559815907084        0                         48172.78086275233         2.614723664321182         -2.775557561562891e-17    -3.469446951953614e-18    
01 Jan 2028 08:24:00.000   -304.108189753076         4.547473508864641e-13     48157.5691700144          2.613748296589646         2.775557561562891e-17     -4.163336342344337e-17    
