SC8.UTCGregorian           SC8.SC8VNB.X              SC8.SC8VNB.Y              SC8.SC8VNB.Z              SC8.SC8VNB.VX             SC8.SC8VNB.VY             SC8.SC8VNB.VZ             
01 Jan 2028 00:00:00.000   -7.121569551407987        -7.105427357601002e-15    515.0346208504213         0.1140837703534916        -6.938893903907228e-18    3.469446951953614e-18     
01 Jan 2028 00:01:00.000   -8.032136587671687        1.4210854715202e-14       514.9204978143177         0.1141112294698604        1.387778780781446e-17     3.469446951953614e-18     
01 Jan 2028 00:02:08.016   -9.060736985184121        7.105427357601002e-15     514.7745591581789         0.1141466500848028        0                         -3.469446951953614e-18    
01 Jan 2028 00:03:32.918   -10.33844958788616        0                         514.5677841261056         0.1141972577796821        0                         0                         
01 Jan 2028 00:05:03.510   -11.69297979139543        0                         514.3171780576021         0.1142590741319094        0                         0                         
01 Jan 2028 00:06:57.358   -13.3802520012899         -1.4210854715202e-14      513.9586884120548         0.1143481733714239        0                         0                         
01 Jan 2028 00:09:11.555   -15.34432591148064        0                         513.4744626267673         0.114469464579734         -6.938893903907228e-18    6.938893903907228e-18     
01 Jan 2028 00:12:20.278   -18.05309522686082        0                         512.6823591225425         0.1146696418094195        0                         0                         
01 Jan 2028 00:14:24.000   -19.79000183118899        0                         512.0938944978286         0.114819513015889         0                         0                         
01 Jan 2028 00:16:37.420   -21.62411539939728        1.4210854715202e-14       511.3992261189601         0.1149975287691621        6.938893903907228e-18     6.938893903907228e-18     
01 Jan 2028 00:19:11.434   -23.68594414828559        -1.4210854715202e-14      510.5215735546234         0.1152239769224778        -6.938893903907228e-18    0                         
01 Jan 2028 00:21:45.533   -25.68369660089485        -1.4210854715202e-14      509.5644215727944         0.1154727562586765        0                         -6.938893903907228e-18    
01 Jan 2028 00:25:08.321   -28.20331570962514        1.4210854715202e-14       508.1887499084935         0.115833445835489         -6.938893903907228e-18    0                         
01 Jan 2028 00:28:48.000   -30.77873360032424        -1.4210854715202e-14      506.5565346143611         0.116265983321359         -6.938893903907228e-18    0                         
01 Jan 2028 00:32:24.132   -33.14132820083509        -2.842170943040401e-14    504.81512636636           0.1167327910674174        6.938893903907228e-18     6.938893903907228e-18     
01 Jan 2028 00:36:29.865   -35.60319389933289        -2.842170943040401e-14    502.683863841295          0.1173114980322686        -6.938893903907228e-18    0                         
01 Jan 2028 00:40:45.079   -37.8876140021363         -2.842170943040401e-14    500.315253183315          0.1179641864855569        -6.938893903907228e-18    -6.938893903907228e-18    
01 Jan 2028 00:43:12.000   -39.06918232237993        2.842170943040401e-14     498.8868774000395         0.1183626686905461        6.938893903907228e-18     0                         
01 Jan 2028 00:45:50.249   -40.22778763510439        0                         497.3004858791575         0.118809584262557         0                         -1.387778780781446e-17    
01 Jan 2028 00:48:51.889   -41.40682131884884        2.842170943040401e-14     495.424320658364          0.1193441180248993        6.938893903907228e-18     0                         
01 Jan 2028 00:52:13.259   -42.51920177345906        0                         493.2838086709045         0.119962018906492         0                         6.938893903907228e-18     
01 Jan 2028 00:55:37.857   -43.43318503725453        0                         491.0540780568711         0.1206149967766378        0                         -6.938893903907228e-18    
01 Jan 2028 00:57:36.000   -43.85935670404655        0                         489.745682330713          0.1210026848911204        0                         0                         
01 Jan 2028 01:00:33.214   -44.35654044534409        -2.842170943040401e-14    487.7602682267155         0.1215975144388531        0                         -6.938893903907228e-18    
01 Jan 2028 01:04:00.938   -44.71897916573904        2.842170943040401e-14     485.4073003950095         0.1223129210548364        0                         0                         
01 Jan 2028 01:07:44.670   -44.83960452893544        -2.842170943040401e-14    482.8555391502191         0.1231020178442386        0                         0                         
01 Jan 2028 01:11:38.048   -44.66434787511652        2.842170943040401e-14     480.1911661687399         0.1239412373208994        0                         0                         
01 Jan 2028 01:12:00.000   -44.63197930169665        0                         479.9410552225038         0.1240208439865935        3.469446951953614e-18     0                         
01 Jan 2028 01:12:30.764   -44.58201566937143        0                         479.5907943500109         0.1241325701657146        0                         3.469446951953614e-18     
01 Jan 2028 01:13:16.669   -44.49747717572752        -2.842170943040401e-14    479.0687962645524         0.1242996073278407        -1.734723475976807e-18    0                         
01 Jan 2028 01:14:15.130   -44.37250449070727        0                         478.4053156504642         0.1245128432048655        0                         -3.469446951953614e-18    
01 Jan 2028 01:15:51.754   -44.12346303173985        0                         477.312663265132          0.1248663000570614        0                         0                         
01 Jan 2028 01:18:00.671   -43.70888620442221        2.842170943040401e-14     475.86447558268           0.1253392530748574        0                         0                         
01 Jan 2028 01:20:57.019   -42.99001540258161        0                         473.9065413472757         0.1259870752863036        0                         1.734723475976807e-18     
01 Jan 2028 01:25:25.573   -41.56158881911649        -2.842170943040401e-14    470.9926299230882         0.1269699811759517        2.710505431213761e-19     1.084202172485504e-19     
01 Jan 2028 01:26:24.000   -41.19806380109474        0                         470.3718274572234         0.127182430499562         -1.192622389734055e-18    2.168404344971009e-19     
01 Jan 2028 01:27:34.941   -40.73161856473272        2.842170943040401e-14     469.6252553185556         0.1274393946214192        -2.168404344971009e-19    4.336808689942018e-19     
01 Jan 2028 01:29:21.609   -39.97892670259255        2.842170943040401e-14     468.5186033000773         0.1278233343647798        -4.336808689942018e-19    -8.673617379884035e-19    
01 Jan 2028 01:31:33.936   -38.96046167637284        0                         467.1746375990708         0.128294665317723         0                         0                         
01 Jan 2028 01:33:54.601   -37.77656152231028        0                         465.7844776064817         0.1287883153679456        -1.734723475976807e-18    1.734723475976807e-18     
01 Jan 2028 01:36:50.814   -36.14935024531295        0                         464.1047948916128         0.1293936007634122        0                         0                         
