SC8.UTCGregorian           SC8.EnceladusICRF.X       SC8.EnceladusICRF.Y       SC8.EnceladusICRF.Z       SC8.EnceladusICRF.VX      SC8.EnceladusICRF.VY      SC8.EnceladusICRF.VZ      
01 Jan 2028 00:00:00.000   495.8795359134674         88.17941510677338         -107.8853740394115        -0.03175725043673516      0.05022435161308891       -0.09738633481044268      
01 Jan 2028 00:01:00.000   493.9245009422302         91.18412053585052         -113.7175361514091        -0.03340969121111215      0.04993096701545952       -0.09701579127751536      
01 Jan 2028 00:02:08.016   491.588583946228          94.56861215829849         -120.3012275099754        -0.03527620937638964      0.04958729089039871       -0.09657198020008906      
01 Jan 2028 00:03:32.918   488.4950315952301         98.75987070798874         -128.4756016433239        -0.03759564651480574      0.04914181405511187       -0.09598261904587435      
01 Jan 2028 00:05:03.510   484.9775476455688         103.1894643902779         -137.1407979726791        -0.04005707996655872      0.04864638205074812       -0.09531052344524404      
01 Jan 2028 00:06:57.358   480.2420330047607         108.690931558609          -147.9406499862671        -0.04312946299670806      0.04799450583218068       -0.09440276259157621      
01 Jan 2028 00:09:11.555   474.2129065990448         115.0778229236603         -160.5325075685978        -0.04671916455757774      0.0471845061012921        -0.09324269605813651      
01 Jan 2028 00:12:20.278   464.9243187904358         123.8693845868111         -177.9631113409996        -0.05170432796267121      0.04596984231087831       -0.09144704927192659      
01 Jan 2028 00:14:24.000   458.3274846076965         129.5050522685051         -189.1987291872501        -0.05492936841396023      0.04512601727179977       -0.09016611126157326      
01 Jan 2028 00:16:37.420   450.7690682411194         135.4627415537834         -201.1314585208893        -0.05836614141541396      0.0441742404385046        -0.088693075496181        
01 Jan 2028 00:19:11.434   441.4778983592987         142.1781995892525         -214.6530358791351        -0.06227703724543687      0.04302204972192669       -0.08687484519402666      
01 Jan 2028 00:21:45.533   431.5836865901947         148.7153725624084         -227.89210537076          -0.06612565513678348      0.04181237797812187       -0.0849298546950461       
01 Jan 2028 00:25:08.321   417.6692640781403         157.0259649157524         -244.8396714627743        -0.07108489266231999      0.04013483747004187       -0.08217980305746231      
01 Jan 2028 00:28:48.000   401.4764194488525         165.6332967877388         -262.5436131954193        -0.0763113924292238       0.03820923739670867       -0.07895824491943504      
01 Jan 2028 00:32:24.132   384.441769361496          173.6770253777504         -279.2444739639759        -0.08129312521395704      0.03620662796389773       -0.0755450355405376       
01 Jan 2028 00:36:29.865   363.7904803752899         182.2814944386482         -297.3021989166737        -0.08674743568205656      0.03380208223033776       -0.07137428955902703      
01 Jan 2028 00:40:45.079   340.9553258419037         190.5746954679489         -314.9310639202595        -0.09215567645511236      0.0311643753687747        -0.0667207786088726       
01 Jan 2028 00:43:12.000   327.1952133178711         195.0377503633499         -324.527480661869         -0.09514173474576459      0.02958263598981326       -0.06389553424934036      
01 Jan 2028 00:45:50.249   311.891829252243          199.5810597538948         -334.3903939425945        -0.09824754772042077      0.02782846276021012       -0.06073477866897115      
01 Jan 2028 00:48:51.889   293.7334172725677         204.4482421875            -345.0816977918148        -0.1016638620892358       0.02575201151219453       -0.05695885844465209      
01 Jan 2028 00:52:13.259   272.8961803913116         209.3957912921906         -356.1149752736092        -0.10525523241785         0.02337364996470903       -0.05259177232336842      
01 Jan 2028 00:55:37.857   251.0067903995514         213.9240227341652         -366.4050393104553        -0.1086805455259494       0.02087795782496293       -0.04796485534920514      
01 Jan 2028 00:57:36.000   238.0557343959808         216.3036494851112         -371.9094984829426        -0.1105505582092619       0.01940185784097537       -0.04520831497411582      
01 Jan 2028 01:00:33.214   218.2270748615265         219.5424521565437         -379.5466206967831        -0.1132004891580536       0.01714163921756118       -0.04096057832867928      
01 Jan 2028 01:04:00.938   194.4109683036804         222.8222700953484         -387.5237356424332        -0.1160588360819652       0.01442522556302883       -0.03581494229678395      
01 Jan 2028 01:07:44.670   168.129442691803          225.7153168320656         -394.8989086747169        -0.1188221799626845       0.01142387839794612       -0.03008141201119763      
01 Jan 2028 01:11:38.048   140.0980546474457         228.0086059570312         -401.2020322084427        -0.1213366408796901       0.008216819036984901      -0.02390258926523092      
01 Jan 2028 01:12:00.000   137.4321234226227         228.1856287717819         -401.720251262188         -0.1215530758218701       0.007911448352140305      -0.0233115526372778       
01 Jan 2028 01:12:30.764   133.6880476474762         228.4224225878716         -402.4246374368668        -0.121850460895045        0.007482468130421971      -0.02248049879981551      
01 Jan 2028 01:13:16.669   128.0846190452576         228.7511696815491         -403.4280228614807        -0.1222812211680875       0.006840200817455511      -0.02123457049890742      
01 Jan 2028 01:14:15.130   120.9203827381134         229.1270612478256         -404.6228071451187        -0.1228070866910489       0.006018586719884311      -0.01963782562586491      
01 Jan 2028 01:15:51.754   109.014413356781          229.6426661014557         -406.3918823897839        -0.1236195896500565       0.004652041864239287      -0.01697493596997202      
01 Jan 2028 01:18:00.671   93.01374864578247         230.1240477561951         -408.3489084839821        -0.124591505000792        0.002813221318229253      -0.01337800541247169      
01 Jan 2028 01:20:57.019   70.94024395942688         230.3965002894402         -410.2687970995903        -0.1257076445597534       0.0002720926710759741     -0.008381957051535771     
01 Jan 2028 01:25:25.573   37.00511598587036         229.9447681903839         -411.4820142388344        -0.1269161226404503       -0.003644490972319225     -0.0006257949252832518    
01 Jan 2028 01:26:24.000   29.5843300819397          229.706774532795          -411.4687128663063        -0.1270980993454831       -0.004502505980042315     0.001082224764543227      
01 Jan 2028 01:27:34.941   20.56120419502258         229.3503455519676         -411.3181263208389        -0.1272792998479488       -0.00554650477034091      0.003164714287627213      
