MotherShip.UTCGregorian   MotherShip.MothershipCentralBodyICRF.X   MotherShip.MothershipCentralBodyICRF.Y   MotherShip.MothershipCentralBodyICRF.Z   MotherShip.MothershipCentralBodyICRF.VX   MotherShip.MothershipCentralBodyICRF.VY   MotherShip.MothershipCentralBodyICRF.VZ   
01 Jan 2028 12:28:48.000   -163758.0395991802                       -170455.6421169043                       26694.25314873457                        9.039028914104495                         -8.823987829681844                        -0.1261821762461324                       
01 Jan 2028 12:43:12.000   -155778.850322485                        -177897.6467404962                       26557.19866859913                        9.428018272169165                         -8.399921808057268                        -0.191007790947574                        
01 Jan 2028 12:57:36.000   -147472.2342483997                       -184965.7392066121                       26364.32482892275                        9.796834757578281                         -7.958607593274474                        -0.2553711470925251                       
01 Jan 2028 13:12:00.000   -138855.9421858788                       -191645.4290787578                       26116.08914032578                        10.14474194912023                         -7.501004177283864                        -0.3191379795506846                       
01 Jan 2028 13:26:24.000   -129948.3411619663                       -197923.0678530931                       25813.06437963247                        10.47105003194424                         -7.028101105252816                        -0.3821757780896125                       
01 Jan 2028 13:40:48.000   -120768.3736698627                       -203785.874364078                        25455.93695896864                        10.77511689413353                         -6.540916172522318                        -0.4443540519634119                       
01 Jan 2028 13:55:12.000   -111335.5160238743                       -209221.9581876397                       25045.50506928563                        11.0563491054357                          -6.040493095867846                        -0.5055445862545476                       
01 Jan 2028 14:09:36.000   -101669.7359170914                       -214220.3410243392                       24582.67660671473                        11.31420277931361                         -5.527899165276984                        -0.565621689609638                        
01 Jan 2028 14:24:00.000   -91791.44928479195                       -218770.976047039                        24068.46688818932                        11.54818431980577                         -5.004222882196333                        -0.624462433057861                        
01 Jan 2028 14:38:24.000   -81721.47657060623                       -222864.7652041912                       23503.99616497755                        11.75785105498015                         -4.470571589916036                        -0.6819468796465982                       
01 Jan 2028 14:52:48.000   -71480.99849653244                       -226493.5744746923                       22890.4869415164                         11.942811759027                           -3.928069101472959                        -0.7379583046728735                       
01 Jan 2028 15:07:12.000   -61091.51142644882                       -229650.2470736504                       22229.26110869646                        12.10272706527015                         -3.377853330150209                        -0.7923834063313766                       
01 Jan 2028 15:21:36.000   -50574.78241896629                       -232328.6146134734                       21521.73689872026                        12.23730977257118                         -2.821073927342676                        -0.8451125066399783                       
01 Jan 2028 15:36:00.000   -39952.804063797                         -234523.5062299371                       20769.4256708622                         12.34632504777009                         -2.258889932247149                        -0.8960397425408511                       
01 Jan 2028 15:50:24.000   -29247.74918150902                       -236230.7556831241                       19973.92853662372                        12.42959052694534                         -1.692467437528354                        -0.9450632471097018                       
01 Jan 2028 16:04:48.000   -18481.92548632622                       -237447.2064502239                       19136.93283194304                        12.48697631837773                         -1.12297727479752                         -0.9920853208385667                       
01 Jan 2028 16:19:12.000   -7677.730278730392                       -238170.7148285508                       18260.20844653249                        12.51840491019016                         -0.5515927234423401                       -1.037012592985606                        
01 Jan 2028 16:33:36.000   3142.394735097885                        -238400.1510695815                       17345.60401749611                        12.52385098567782                         0.0205127539556571                        -1.079756173013482                        
01 Jan 2028 16:48:00.000   13956.00842690468                        -238135.3985702395                       16395.04299655557                        12.50334114937798                         0.5921677466634954                        -1.120231792159561                        
01 Jan 2028 17:02:24.000   24740.71495962143                        -237377.3511456847                       15410.5195992291                         12.45695356692655                         1.162205098624838                         -1.158359935203618                        
01 Jan 2028 17:16:48.000   35474.20814752579                        -236127.9084137082                       14394.0946444273                         12.38481752173246                         1.729464076665598                         -1.19406596251511                         
01 Jan 2028 17:31:12.000   46134.31540465355                        -234389.9693226814                       13347.89129263163                        12.28711289145638                         2.292792501915581                         -1.227280222478343                        
01 Jan 2028 17:45:36.000   56699.04120087624                        -232167.4238528609                       12274.09069108963                        12.16406954722865                         2.851048842520861                         -1.257938154405278                        
01 Jan 2028 18:00:00.000   67146.6099729538                         -229465.1429282427                       11174.927534163                          12.01596667846112                         3.4031042659402                           -1.285980382056012                        
01 Jan 2028 18:14:24.000   77455.50841522217                        -226288.9665730596                       10052.68554702401                        11.84313204602115                         3.947844649316128                         -1.31135279789363                         
01 Jan 2028 18:28:48.000   87604.52709913254                        -222645.6903489828                       8909.692900180817                        11.64594116643632                         4.48417254659511                          -1.334006638205027                        
01 Jan 2028 18:43:12.000   97572.80135893822                        -218543.0501129627                       7748.317563503981                        11.4248164296821                          5.011009111234737                         -1.353898549221803                        
