SC3.UTCGregorian           SC3.SC3RIC.X              SC3.SC3RIC.Y              SC3.SC3RIC.Z              SC3.SC3RIC.VX             SC3.SC3RIC.VY             SC3.SC3RIC.VZ             
01 Jan 2028 00:00:00.000   540.8189786118379         7.105427357601002e-15     0                         -0.0006900392633538456    1.387778780781446e-17     -1.301042606982605e-17    
01 Jan 2028 00:01:00.000   540.7673311093074         0                         0                         -0.00103141041718006      0                         -8.673617379884035e-19    
01 Jan 2028 00:02:08.016   540.6840470872468         7.105427357601002e-15     0                         -0.001417337147007517     1.387778780781446e-17     2.168404344971009e-18     
01 Jan 2028 00:03:32.918   540.5433264978606         0                         0                         -0.001897196811157698     1.387778780781446e-17     5.854691731421724e-18     
01 Jan 2028 00:05:03.510   540.3483624319008         0                         0                         -0.00240649337940398      0                         2.818925648462312e-18     
01 Jan 2028 00:06:57.358   540.0381722423375         -1.06581410364015e-14     0                         -0.003041780024534684     0                         -4.87890977618477e-19     
01 Jan 2028 00:09:11.555   539.580161458229          -5.329070518200751e-15    0                         -0.003782569730160435     0                         -8.673617379884035e-19    
01 Jan 2028 00:12:20.278   538.7693200693457         -7.105427357601002e-15    0                         -0.004806594816468201     1.387778780781446e-17     2.168404344971009e-18     
01 Jan 2028 00:14:24.000   538.1338107898855         -1.06581410364015e-14     0                         -0.005464693560193353     -1.387778780781446e-17    -6.938893903907228e-18    
01 Jan 2028 00:16:37.420   537.3581056661742         0                         -2.842170943040401e-14    -0.006160884121728012     1.387778780781446e-17     1.734723475976807e-18     
01 Jan 2028 00:19:11.434   536.348575459028          -2.842170943040401e-14    0                         -0.006945026676974959     0                         4.336808689942018e-18     
01 Jan 2028 00:21:45.533   535.21938668239           2.842170943040401e-14     -2.842170943040401e-14    -0.007706243405463277     -1.387778780781446e-17    6.071532165918825e-18     
01 Jan 2028 00:25:08.321   533.5583225501279         -1.4210854715202e-14      2.842170943040401e-14     -0.008668055759166855     0                         -3.469446951953614e-18    
01 Jan 2028 00:28:48.000   531.5448379188153         2.842170943040401e-14     -2.842170943040401e-14    -0.009652521965094089     0                         1.040834085586084e-17     
01 Jan 2028 00:32:24.132   529.3597850469549         2.842170943040401e-14     -2.842170943040401e-14    -0.0105557099836415       0                         1.734723475976807e-18     
01 Jan 2028 00:36:29.865   526.6485117601478         0                         5.684341886080801e-14     -0.01149475993995666      -1.387778780781446e-17    -3.469446951953614e-18    
01 Jan 2028 00:40:45.079   523.6019152036419         2.842170943040401e-14     0                         -0.01236046436628278      2.775557561562891e-17     -6.938893903907228e-18    
01 Jan 2028 00:43:12.000   521.7528263867897         0                         2.842170943040401e-14     -0.01280382207947092      0                         0                         
01 Jan 2028 00:45:50.249   519.6919716291907         0                         -2.842170943040401e-14    -0.01323339008130288      0                         3.469446951953614e-18     
01 Jan 2028 00:48:51.889   517.2482732511115         -2.842170943040401e-14    0                         -0.01366188022384175      0                         3.469446951953614e-18     
01 Jan 2028 00:52:13.259   514.4563666691973         0                         0                         -0.01405192209767251      -1.387778780781446e-17    -3.469446951953614e-18    
01 Jan 2028 00:55:37.857   511.5489847462048         2.842170943040401e-14     0                         -0.01435191432838667      1.387778780781446e-17     0                         
