SC2.UTCGregorian           SC2.SC2RIC.X              SC2.SC2RIC.Y              SC2.SC2RIC.Z              SC2.SC2RIC.VX             SC2.SC2RIC.VY             SC2.SC2RIC.VZ             
01 Jan 2028 00:00:00.000   523.1769952706768         1.4210854715202e-14       2.842170943040401e-14     0.007437785274409801      -1.387778780781446e-17    -1.734723475976807e-18    
01 Jan 2028 00:01:00.000   523.6157143612677         -7.105427357601002e-15    0                         0.007185618770796179      -1.387778780781446e-17    0                         
01 Jan 2028 00:02:08.016   524.0946184149798         0                         2.842170943040401e-14     0.00689575522938568       0                         -1.734723475976807e-18    
01 Jan 2028 00:03:32.918   524.6645222771386         1.4210854715202e-14       -2.842170943040401e-14    0.00652827210886151       1.387778780781446e-17     -7.806255641895632e-18    
01 Jan 2028 00:05:03.510   525.2379279752167         0                         -2.842170943040401e-14    0.006129666039911781      0                         3.469446951953614e-18     
01 Jan 2028 00:06:57.358   525.90685065204           0                         -5.684341886080801e-14    0.005619993877211361      1.387778780781446e-17     1.734723475976807e-18     
01 Jan 2028 00:09:11.555   526.6201014908722         -1.4210854715202e-14      0                         0.005007969312283433      2.775557561562891e-17     5.204170427930421e-18     
01 Jan 2028 00:12:20.278   527.482633191615          0                         -5.684341886080801e-14    0.004129607788235491      0                         0                         
01 Jan 2028 00:14:24.000   527.9574253392484         1.4210854715202e-14       0                         0.003544442719014433      -1.387778780781446e-17    0                         
01 Jan 2028 00:16:37.420   528.3878530472783         1.4210854715202e-14       -2.842170943040401e-14    0.002906760941229592      1.387778780781446e-17     -3.469446951953614e-18    
01 Jan 2028 00:19:11.434   528.7784141295351         2.842170943040401e-14     -2.842170943040401e-14    0.002163980114287926      1.387778780781446e-17     0                         
01 Jan 2028 00:21:45.533   529.0542841742204         -2.842170943040401e-14    2.842170943040401e-14     0.001415804652218081      -1.387778780781446e-17    0                         
01 Jan 2028 00:25:08.321   529.2412110997726         2.842170943040401e-14     2.842170943040401e-14     0.0004273878735514235     -1.387778780781446e-17    -3.469446951953614e-18    
01 Jan 2028 00:28:48.000   529.2174692258709         0                         2.842170943040401e-14     -0.0006429795948166422    -1.387778780781446e-17    -3.469446951953614e-18    
01 Jan 2028 00:32:24.132   528.9652071920566         -5.684341886080801e-14    -5.684341886080801e-14    -0.001689841060983528     -1.387778780781446e-17    -6.938893903907228e-18    
01 Jan 2028 00:36:29.865   528.405136282789          2.842170943040401e-14     2.842170943040401e-14     -0.002865272088993544     0                         3.469446951953614e-18     
01 Jan 2028 00:40:45.079   527.5206614947425         5.684341886080801e-14     5.684341886080801e-14     -0.004060949952765673     1.387778780781446e-17     6.938893903907228e-18     
01 Jan 2028 00:43:12.000   526.8744142988711         2.842170943040401e-14     -2.842170943040401e-14    -0.004734236595120893     -1.387778780781446e-17    6.938893903907228e-18     
01 Jan 2028 00:45:50.249   526.0687910428817         2.842170943040401e-14     2.842170943040401e-14     -0.005444779134425634     -1.387778780781446e-17    -6.938893903907228e-18    
01 Jan 2028 00:48:51.889   525.0073017080424         2.842170943040401e-14     -5.684341886080801e-14    -0.006239035176213485     2.775557561562891e-17     0                         
01 Jan 2028 00:52:13.259   523.6647586111054         0                         0                         -0.007089441583384704     -2.775557561562891e-17    0                         
01 Jan 2028 00:55:37.857   522.1289480401812         0                         2.842170943040401e-14     -0.007917040363987243     0                         0                         
01 Jan 2028 00:57:36.000   521.166324265061          0                         -5.684341886080801e-14    -0.008376599688181531     0                         -6.938893903907228e-18    
01 Jan 2028 01:00:33.214   519.622710624668          0                         0                         -0.009038736730902677     0                         0                         
01 Jan 2028 01:04:00.938   517.6683032055347         2.842170943040401e-14     2.842170943040401e-14     -0.009770259729659551     1.387778780781446e-17     0                         
01 Jan 2028 01:07:44.670   515.3995805935126         -5.684341886080801e-14    -2.842170943040401e-14    -0.01049996255492097      0                         6.938893903907228e-18     
01 Jan 2028 01:11:38.048   512.8669675901647         -2.842170943040401e-14    -2.842170943040401e-14    -0.01119177529847692      -1.387778780781446e-17    6.938893903907228e-18     
01 Jan 2028 01:12:00.000   512.6206152343323         5.684341886080801e-14     0                         -0.01125302030480804      -1.387778780781446e-17    0                         
01 Jan 2028 01:12:30.764   512.2731188306741         0                         1.4210854715202e-14       -0.01133771364424334      0                         -6.938893903907228e-18    
01 Jan 2028 01:13:16.669   511.7498121522785         0                         -2.842170943040401e-14    -0.01146159496222426      1.387778780781446e-17     0                         
01 Jan 2028 01:14:15.130   511.0752425249377         -2.842170943040401e-14    1.4210854715202e-14       -0.01161498850867956      0                         6.938893903907228e-18     
01 Jan 2028 01:15:51.754   509.9411222554211         -2.842170943040401e-14    -1.4210854715202e-14      -0.01185757886934519      0                         1.387778780781446e-17     
01 Jan 2028 01:18:00.671   508.3927502700611         0                         1.4210854715202e-14       -0.01215951299426868      1.387778780781446e-17     0                         
01 Jan 2028 01:20:57.019   506.2149761989958         0                         -1.4210854715202e-14      -0.01253100888669812      0                         -6.938893903907228e-18    
01 Jan 2028 01:25:25.573   502.7839983429578         2.842170943040401e-14     -1.4210854715202e-14      -0.01300073583610888      0                         0                         
01 Jan 2028 01:26:24.000   502.0218542095176         4.263256414560601e-14     -1.4210854715202e-14      -0.01308707374178204      1.387778780781446e-17     0                         
01 Jan 2028 01:27:34.941   501.0899541592505         0                         0                         -0.01318410792993796      0                         1.387778780781446e-17     
01 Jan 2028 01:29:21.609   499.6765384809453         -2.842170943040401e-14    -1.4210854715202e-14      -0.01331371573858145      1.387778780781446e-17     0                         
01 Jan 2028 01:31:33.936   497.905625787565          -1.4210854715202e-14      0                         -0.01344687937372366      0                         0                         
01 Jan 2028 01:33:54.601   496.0061458168322         1.4210854715202e-14       1.4210854715202e-14       -0.01355432496743158      0                         -1.387778780781446e-17    
01 Jan 2028 01:36:50.814   493.6094641445744         -1.4210854715202e-14      1.4210854715202e-14       -0.01363845717749781      2.775557561562891e-17     0                         
01 Jan 2028 01:40:21.313   490.7344266393267         0                         2.131628207280301e-14     -0.01366415763388565      -1.387778780781446e-17    6.938893903907228e-18     
01 Jan 2028 01:40:48.000   490.3698083460126         -7.105427357601002e-15    2.842170943040401e-14     -0.01366153829767153      -1.387778780781446e-17    0                         
01 Jan 2028 01:41:38.543   489.6795058552964         7.105427357601002e-15     1.06581410364015e-14      -0.01365293185948026      -2.775557561562891e-17    -6.938893903907228e-18    
01 Jan 2028 01:42:39.498   488.8477700394419         7.105427357601002e-15     -3.907985046680551e-14    -0.01363619135525998      2.775557561562891e-17     0                         
01 Jan 2028 01:44:01.231   487.7345260936631         -7.105427357601002e-15    -2.842170943040401e-14    -0.01360280068137036      1.387778780781446e-17     0                         
01 Jan 2028 01:45:36.019   486.4475946870019         -1.77635683940025e-14     2.309263891220326e-14     -0.01354833904708373      0                         6.938893903907228e-18     
01 Jan 2028 01:47:30.907   484.8959009806828         -1.598721155460225e-14    1.953992523340276e-14     -0.01345963524281341      0                         -6.938893903907228e-18    
01 Jan 2028 01:49:36.405   483.2142937223014         -1.332267629550188e-15    -4.662936703425657e-15    -0.01333432161804333      1.387778780781446e-17     0                         
01 Jan 2028 01:51:55.551   481.3705367821045         1.598721155460225e-14     -1.77635683940025e-15     -0.01316077832786861      -2.775557561562891e-17    6.938893903907228e-18     
01 Jan 2028 01:54:24.914   479.4212064866838         0                         7.105427357601002e-15     -0.0129342331791394       0                         6.938893903907228e-18     
01 Jan 2028 01:55:12.000   478.814050101148          0                         -3.552713678800501e-15    -0.01285423427045748      -2.775557561562891e-17    0                         
01 Jan 2028 01:56:13.841   478.0225400451638         -1.4210854715202e-14      -1.06581410364015e-14     -0.01274296225473022      0                         0                         
01 Jan 2028 01:57:37.294   476.9657366273661         -1.4210854715202e-14      -3.552713678800501e-15    -0.01258170168049576      -2.775557561562891e-17    0                         
01 Jan 2028 01:59:18.535   475.7025547392826         0                         -7.105427357601002e-15    -0.01236910980900791      5.551115123125783e-17     6.938893903907228e-18     
01 Jan 2028 02:01:25.299   474.1528101987445         0                         2.131628207280301e-14     -0.01207707072359874      0                         -6.938893903907228e-18    
01 Jan 2028 02:03:35.711   472.599002226039          1.4210854715202e-14       7.105427357601002e-15     -0.01174718608494891      0                         6.938893903907228e-18     
01 Jan 2028 02:06:07.291   470.8497037883591         0                         1.4210854715202e-14       -0.01132718884954491      2.775557561562891e-17     1.387778780781446e-17     
01 Jan 2028 02:09:10.636   468.8233158738152         0                         0                         -0.01076847021672038      0                         0                         
01 Jan 2028 02:09:36.000   468.5512135790971         0                         1.4210854715202e-14       -0.01068694060545224      2.775557561562891e-17     6.938893903907228e-18     
01 Jan 2028 02:10:19.305   468.0914691997394         2.842170943040401e-14     0                         -0.01054542216453251      0                         0                         
01 Jan 2028 02:11:34.955   467.3032708380541         -2.842170943040401e-14    1.4210854715202e-14       -0.01029128788468154      -2.775557561562891e-17    -6.938893903907228e-18    
01 Jan 2028 02:13:03.795   466.4026453923685         1.4210854715202e-14       -2.842170943040401e-14    -0.009981871838531251     0                         6.938893903907228e-18     
01 Jan 2028 02:14:58.349   465.2828250268336         -1.4210854715202e-14      0                         -0.009566006244868953     0                         6.938893903907228e-18     
01 Jan 2028 02:17:30.219   463.8736321571871         1.4210854715202e-14       -1.4210854715202e-14      -0.008986736981148678     0                         6.938893903907228e-18     
01 Jan 2028 02:20:18.970   462.4138645727506         0                         -1.4210854715202e-14      -0.008308199571165915     2.775557561562891e-17     0                         
01 Jan 2028 02:23:27.401   460.9228268812209         0                         -1.4210854715202e-14      -0.007511040962596374     0                         1.387778780781446e-17     
01 Jan 2028 02:24:00.000   460.680283992798          0                         2.842170943040401e-14     -0.007369242702801856     0                         0                         
01 Jan 2028 02:24:46.533   460.3421180175175         -2.842170943040401e-14    -1.4210854715202e-14      -0.007164972040603443     0                         6.938893903907228e-18     
01 Jan 2028 02:25:45.802   459.925240415229          0                         1.4210854715202e-14       -0.00690172929805799      0                         6.938893903907228e-18     
01 Jan 2028 02:27:21.451   459.2856774882396         -2.842170943040401e-14    0                         -0.006470069897045141     2.775557561562891e-17     -1.387778780781446e-17    
01 Jan 2028 02:29:11.125   458.6036535998522         2.842170943040401e-14     -2.842170943040401e-14    -0.005965525675332574     2.775557561562891e-17     6.938893903907228e-18     
01 Jan 2028 02:31:31.910   457.8101634994343         2.842170943040401e-14     2.842170943040401e-14     -0.005304547847150856     0                         6.938893903907228e-18     
01 Jan 2028 02:33:57.644   457.0877940763306         0                         0                         -0.004606923979158094     0                         -6.938893903907228e-18    
01 Jan 2028 02:36:34.963   456.4230896992647         0                         2.842170943040401e-14     -0.003841628825227428     0                         0                         
01 Jan 2028 02:38:24.000   456.0334012114834         0                         0                         -0.003305550668343045     0                         2.081668171172169e-17     
01 Jan 2028 02:40:48.322   455.6078375390584         2.842170943040401e-14     -2.842170943040401e-14    -0.002591136477586464     2.775557561562891e-17     6.938893903907228e-18     
01 Jan 2028 02:43:23.927   455.2648057579009         0                         0                         -0.00181756250980171      0                         0                         
01 Jan 2028 02:46:02.614   455.0390041896088         2.842170943040401e-14     2.842170943040401e-14     -0.001028599636694702     0                         -2.081668171172169e-17    
01 Jan 2028 02:49:47.033   454.9328269429525         0                         5.684341886080801e-14     8.035110809267304e-05     0                         2.081668171172169e-17     
01 Jan 2028 02:52:48.000   455.0274115044729         -1.4210854715202e-14      0                         0.0009627090632112478     0                         -3.469446951953614e-18    
01 Jan 2028 02:55:49.063   455.2804709970853         1.4210854715202e-14       -2.842170943040401e-14    0.001829473139560986      2.775557561562891e-17     3.469446951953614e-18     
01 Jan 2028 02:58:59.142   455.7129610218831         -1.4210854715202e-14      -2.842170943040401e-14    0.002716866525923622      0                         3.469446951953614e-18     
01 Jan 2028 03:02:19.599   456.3488706390465         -1.4210854715202e-14      0                         0.003622023557434406      0                         6.938893903907228e-18     
01 Jan 2028 03:06:33.056   457.4064902805648         0                         0                         0.004712768525998532      2.775557561562891e-17     3.469446951953614e-18     
01 Jan 2028 03:07:12.000   457.593178404129          -4.263256414560601e-14    -5.684341886080801e-14    0.004874442216731566      -2.775557561562891e-17    -1.040834085586084e-17    
01 Jan 2028 03:08:00.554   457.8346973679118         1.4210854715202e-14       2.842170943040401e-14     0.005073655742368278      2.775557561562891e-17     -6.938893903907228e-18    
01 Jan 2028 03:08:58.622   458.1361513207343         0                         0                         0.005308394048078681      0                         -6.938893903907228e-18    
01 Jan 2028 03:10:27.345   458.6227701631319         -7.105427357601002e-15    0                         0.005659429707719682      -2.775557561562891e-17    1.734723475976807e-18     
01 Jan 2028 03:12:27.283   459.3292724634936         0                         2.842170943040401e-14     0.006118751816708238      0                         1.561251128379126e-17     
01 Jan 2028 03:14:35.833   460.1464088105748         1.06581410364015e-14      2.842170943040401e-14     0.00659078486614688       -2.775557561562891e-17    -5.204170427930421e-18    
01 Jan 2028 03:17:35.761   461.3890482575767         8.881784197001252e-15     0                         0.007214562399053869      -2.775557561562891e-17    -8.673617379884035e-19    
01 Jan 2028 03:20:48.875   462.8429410311621         1.110223024625157e-14     2.842170943040401e-14     0.007833938746365161      0                         6.938893903907228e-18     
01 Jan 2028 03:21:36.000   463.2154999092938         7.993605777301127e-15     -5.684341886080801e-14    0.007976957626972208      -2.775557561562891e-17    1.301042606982605e-18     
01 Jan 2028 03:22:44.994   463.7729261275107         -1.4210854715202e-14      5.684341886080801e-14     0.00818048425316935       -2.775557561562891e-17    1.951563910473908e-18     
01 Jan 2028 03:24:22.289   464.5823382950917         1.06581410364015e-14      2.842170943040401e-14     0.008455522042728624      -5.551115123125783e-17    -4.119968255444917e-18    
01 Jan 2028 03:26:27.734   465.6642185054981         0                         2.842170943040401e-14     0.008789184621387109      -2.775557561562891e-17    -8.673617379884035e-18    
01 Jan 2028 03:29:06.965   467.0952138753757         7.105427357601002e-15     -2.842170943040401e-14    0.009178247424080464      0                         -3.469446951953614e-18    
01 Jan 2028 03:32:12.021   468.8318229670114         -1.4210854715202e-14      0                         0.009581391713315252      0                         3.469446951953614e-18     
01 Jan 2028 03:35:24.136   470.708280425271          0                         2.842170943040401e-14     0.009943746897978414      0                         -6.938893903907228e-18    
01 Jan 2028 03:36:00.000   471.0660078975255         1.4210854715202e-14       2.842170943040401e-14     0.01000504125358182       2.775557561562891e-17     5.204170427930421e-18     
01 Jan 2028 03:36:42.630   471.4940340882206         -1.4210854715202e-14      -5.684341886080801e-14    0.01007530271978246       0                         -3.469446951953614e-18    
01 Jan 2028 03:37:34.642   472.020218036996          -1.4210854715202e-14      -5.684341886080801e-14    0.01015720931970522       2.775557561562891e-17     -3.469446951953614e-18    
01 Jan 2028 03:38:42.322   472.7110930424989         0                         -2.842170943040401e-14    0.01025751790770517       0                         5.204170427930421e-18     
01 Jan 2028 03:39:59.134   473.503090113243          0                         2.842170943040401e-14     0.01036278944521749       0                         6.938893903907228e-18     
01 Jan 2028 03:41:22.976   474.3763821455602         -1.4210854715202e-14      -8.526512829121202e-14    0.01046733382291274       0                         3.469446951953614e-18     
01 Jan 2028 03:43:30.572   475.7210789215785         0                         0                         0.01060580887391951       0                         0                         
01 Jan 2028 03:45:43.463   477.1386222534886         0                         -2.842170943040401e-14    0.01072379910587113       0                         0                         
01 Jan 2028 03:48:30.464   478.9393381431808         -2.842170943040401e-14    2.842170943040401e-14     0.01083464647445377       0                         0                         
01 Jan 2028 03:50:24.000   480.1725903218822         2.842170943040401e-14     0                         0.01088657591041964       0                         -6.938893903907228e-18    
01 Jan 2028 03:52:27.000   481.5140238866101         0                         0                         0.01092180709772529       0                         6.938893903907228e-18     
01 Jan 2028 03:54:57.733   483.161754212421          0                         -2.842170943040401e-14    0.01093572729947036       -1.387778780781446e-17    -6.938893903907228e-18    
01 Jan 2028 03:57:32.259   484.8506097177902         2.842170943040401e-14     -2.842170943040401e-14    0.01091732483118017       -1.387778780781446e-17    0                         
01 Jan 2028 04:00:28.893   486.7742534623195         -2.842170943040401e-14    2.842170943040401e-14     0.01085692893122331       -1.387778780781446e-17    -6.938893903907228e-18    
01 Jan 2028 04:03:38.908   488.8274875788513         0                         5.684341886080801e-14     0.01074665972228372       -1.387778780781446e-17    6.938893903907228e-18     
01 Jan 2028 04:04:48.000   489.568252329393          -2.842170943040401e-14    0                         0.01069527940974723       1.387778780781446e-17     -6.938893903907228e-18    
01 Jan 2028 04:06:29.878   490.6535665772166         0                         0                         0.01060883257802918       1.387778780781446e-17     0                         
01 Jan 2028 04:08:17.758   491.7924996061873         -5.684341886080801e-14    -2.842170943040401e-14    0.010503713308931         0                         1.387778780781446e-17     
01 Jan 2028 04:10:12.051   492.9859334730347         0                         -5.684341886080801e-14    0.01037750633633035       0                         6.938893903907228e-18     
01 Jan 2028 04:13:05.506   494.7673903288866         -2.842170943040401e-14    0                         0.0101577776735066        0                         0                         
01 Jan 2028 04:16:00.807   496.5261635519731         0                         0                         0.009902588594239162      0                         6.938893903907228e-18     
01 Jan 2028 04:18:57.621   498.2519538669774         8.526512829121202e-14     0                         0.009613110812311698      0                         -6.938893903907228e-18    
01 Jan 2028 04:19:12.000   498.3900033706241         0                         2.842170943040401e-14     0.009588203510995791      0                         0                         
01 Jan 2028 04:19:35.732   498.6170561676684         0                         0                         0.009546656265468252      2.775557561562891e-17     0                         
01 Jan 2028 04:20:05.326   498.8988105759094         -2.842170943040401e-14    2.842170943040401e-14     0.009494083085098852      0                         0                         
01 Jan 2028 04:20:41.550   499.2415410600153         0                         0                         0.009428593630990724      -1.387778780781446e-17    0                         
01 Jan 2028 04:21:30.360   499.6995580430998         -2.842170943040401e-14    0                         0.009338389544123415      -1.387778780781446e-17    0                         
01 Jan 2028 04:22:27.226   500.2275416833531         -2.842170943040401e-14    0                         0.009230502039150448      -2.775557561562891e-17    6.938893903907228e-18     
01 Jan 2028 04:23:32.072   500.8220103556979         0                         0                         0.009103872869078364      0                         -6.938893903907228e-18    
01 Jan 2028 04:24:47.934   501.5068862534246         -2.842170943040401e-14    1.4210854715202e-14       0.008950961213345883      -2.775557561562891e-17    0                         
01 Jan 2028 04:26:27.829   502.3906758687069         2.842170943040401e-14     2.842170943040401e-14     0.008741978488226908      -1.387778780781446e-17    6.938893903907228e-18     
01 Jan 2028 04:28:25.460   503.4040080697822         0                         0                         0.008485145910264211      -2.775557561562891e-17    -6.938893903907228e-18    
01 Jan 2028 04:30:30.256   504.4452847076572         0                         0                         0.008200476653387308      1.387778780781446e-17     6.938893903907228e-18     
01 Jan 2028 04:33:09.164   505.7184810265316         -2.842170943040401e-14    0                         0.007820716292582585      -1.387778780781446e-17    -1.387778780781446e-17    
01 Jan 2028 04:33:36.000   505.9274750681959         1.4210854715202e-14       -4.263256414560601e-14    0.00775474786384206       0                         6.938893903907228e-18     
01 Jan 2028 04:34:13.037   506.2129859930525         2.842170943040401e-14     1.4210854715202e-14       0.00766285950835132       0                         -1.387778780781446e-17    
01 Jan 2028 04:34:58.904   506.5618274196896         0                         0                         0.007547722886813931      1.387778780781446e-17     6.938893903907228e-18     
01 Jan 2028 04:36:03.190   507.041787325828          -1.4210854715202e-14      2.842170943040401e-14     0.007383910309764725      0                         0                         
01 Jan 2028 04:37:17.785   507.5853953263316         -1.4210854715202e-14      1.4210854715202e-14       0.007190344608531043      -1.387778780781446e-17    6.938893903907228e-18     
