MotherShip.UTCGregorian   MotherShip.motherRIC.X    MotherShip.motherRIC.Y    MotherShip.motherRIC.Z    MotherShip.motherRIC.VX   MotherShip.motherRIC.VY   MotherShip.motherRIC.VZ   
01 Jan 2028 10:19:12.000   48133.59230189483         -4.547473508864641e-13    -4.547473508864641e-13    0.009503249827661837      -4.440892098500626e-16    0                         
01 Jan 2028 10:33:36.000   48143.22427437544         -3.524291969370097e-12    -4.547473508864641e-13    0.01279096238644779       0                         5.551115123125783e-17     
01 Jan 2028 10:48:00.000   48155.69058062346         1.605826582817826e-12     0                         0.01606302071120057       -8.881784197001252e-16    -5.551115123125783e-17    
01 Jan 2028 11:02:24.000   48170.97463302459         -1.925570813909872e-12    0                         0.01931235383500627       0                         0                         
01 Jan 2028 11:16:48.000   48189.05377459137         -1.584510300745023e-12    0                         0.02253197430272675       -8.881784197001252e-16    0                         
01 Jan 2028 11:31:12.000   48209.89935257295         -7.16049441962241e-12     3.979039320256561e-13     0.02571501585817488       -4.440892098500626e-16    0                         
01 Jan 2028 11:45:36.000   48233.47686273856         5.016431714466307e-12     5.115907697472721e-13     0.02885478869994591       -4.440892098500626e-16    0                         
01 Jan 2028 12:00:00.000   48259.7461119105          -5.925926416239236e-12    -4.547473508864641e-13    0.03194483128509127       0                         5.551115123125783e-17     
01 Jan 2028 12:14:24.000   48288.66119718807         2.899014361901209e-12     -1.13686837721616e-13     0.03497824841771488       0                         0                         
01 Jan 2028 12:28:48.000   48320.17039298084         -3.112177182629239e-12    0                         0.03794869430753446       0                         -5.551115123125783e-17    
01 Jan 2028 12:43:12.000   48354.21664578666         7.275957614183426e-12     0                         0.04085004782564345       4.440892098500626e-16     0                         
01 Jan 2028 12:57:36.000   48390.73765453447         -2.444267011014745e-12    2.273736754432321e-13     0.04367631900019013       0                         -5.551115123125783e-17    
01 Jan 2028 13:12:00.000   48429.6660217398          -2.330580173293129e-12    0                         0.04642168426934293       0                         -5.551115123125783e-17    
01 Jan 2028 13:26:24.000   48470.92939984438         4.007461029686965e-12     9.094947017729282e-13     0.04908051133178477       4.440892098500626e-16     -5.551115123125783e-17    
01 Jan 2028 13:40:48.000   48514.45066397866         2.785327524179593e-12     0                         0.05164737999775568       -8.881784197001252e-16    0                         
01 Jan 2028 13:55:12.000   48560.14809468733         -2.302158463862725e-12    4.547473508864641e-13     0.05411709648329707       0                         0                         
01 Jan 2028 14:09:36.000   48607.93560232266         -2.785327524179593e-12    -4.547473508864641e-13    0.05648470646966129       8.881784197001252e-16     0                         
01 Jan 2028 14:24:00.000   48657.72290766149         6.821210263296962e-13     0                         0.05874550334323134       8.881784197001252e-16     -2.775557561562891e-17    
01 Jan 2028 14:38:24.000   48709.41579031025         -1.080024958355352e-12    0                         0.06089503700773587       4.440892098500626e-16     0                         
01 Jan 2028 14:52:48.000   48762.91628316118         3.979039320256561e-13     9.094947017729282e-13     0.06292911918897065       0                         2.775557561562891e-17     
01 Jan 2028 15:07:12.000   48818.12293115101         -4.547473508864641e-13    0                         0.06484382972002328       4.440892098500626e-16     2.775557561562891e-17     
01 Jan 2028 15:21:36.000   48874.93099296529         2.842170943040401e-13     0                         0.06663552029160694       -4.440892098500626e-16    2.775557561562891e-17     
01 Jan 2028 15:36:00.000   48933.23271165288         -1.70530256582424e-13     0                         0.06830081922111425       -4.440892098500626e-16    0                         
01 Jan 2028 15:50:24.000   48992.91751904781         -1.13686837721616e-13     -9.094947017729282e-13    0.06983663407047903       0                         -5.551115123125783e-17    
01 Jan 2028 16:04:48.000   49053.87231675417         -2.273736754432321e-13    0                         0.07124015526236605       0                         -5.551115123125783e-17    
01 Jan 2028 16:19:12.000   49115.98168085142         1.70530256582424e-13      -9.094947017729282e-13    0.07250885774590629       8.881784197001252e-16     0                         
01 Jan 2028 16:33:36.000   49179.12814688747         -1.13686837721616e-13     -9.094947017729282e-13    0.07364050316051458       4.440892098500626e-16     -2.775557561562891e-17    
01 Jan 2028 16:48:00.000   49243.19243787004         -9.094947017729282e-13    0                         0.07463314107819292       0                         -2.775557561562891e-17    
01 Jan 2028 17:02:24.000   49308.05370372689         3.979039320256561e-13     0                         0.07548510930903646       0                         -2.775557561562891e-17    
01 Jan 2028 17:16:48.000   49373.58979567734         6.536993168992922e-13     -9.094947017729282e-13    0.07619503431626014       0                         0                         
01 Jan 2028 17:31:12.000   49439.67750376374         -3.410605131648481e-13    9.094947017729282e-13     0.07676183050291682       0                         -1.387778780781446e-17    
01 Jan 2028 17:45:36.000   49506.19278976063         -1.818989403545856e-12    0                         0.07718469901133276       4.440892098500626e-16     -2.775557561562891e-17    
01 Jan 2028 18:00:00.000   49573.01106649583         -2.330580173293129e-12    -9.094947017729282e-13    0.07746312618008822       -8.881784197001252e-16    5.551115123125783e-17     
01 Jan 2028 18:14:24.000   49640.0074079724          4.945377440890297e-12     0                         0.07759688119016539       0                         -1.387778780781446e-17    
01 Jan 2028 18:28:48.000   49707.05682765144         1.70530256582424e-13      0                         0.07758601330882497       0                         0                         
01 Jan 2028 18:43:12.000   49774.0344833215          7.815970093361102e-13     9.094947017729282e-13     0.07743084858875039       -4.440892098500626e-16    6.938893903907228e-18     
01 Jan 2028 18:57:36.000   49840.81595099084         1.84741111297626e-12      -9.094947017729282e-13    0.07713198614900255       -4.440892098500626e-16    -1.387778780781446e-17    
01 Jan 2028 19:12:00.000   49907.27742143202         5.471179065352771e-12     9.094947017729282e-13     0.07669029398472203       -4.440892098500626e-16    1.387778780781446e-17     
01 Jan 2028 19:26:24.000   49973.29596651949         2.525979425627156e-12     -9.094947017729282e-13    0.07610690443205727       0                         6.938893903907228e-18     
01 Jan 2028 19:40:48.000   50038.74974643782         4.591882429849647e-13     -9.094947017729282e-13    0.07538320919452249       4.440892098500626e-16     -3.035766082959412e-17    
01 Jan 2028 19:55:12.000   50103.51822044623         -1.968203378055478e-12    0                         0.07452085432277737       0                         -6.938893903907228e-18    
01 Jan 2028 20:09:36.000   50167.48239669555         -3.836930773104541e-13    9.094947017729282e-13     0.07352173446248521       0                         3.469446951953614e-18     
01 Jan 2028 20:24:00.000   50230.5250072558          1.392663762089796e-12     -9.094947017729282e-13    0.07238798753433774       0                         6.938893903907228e-18     
01 Jan 2028 20:38:24.000   50292.53074821996         -1.35003119794419e-12     -9.094947017729282e-13    0.07112198850769152       0                         0                         
01 Jan 2028 20:52:48.000   50353.38646789259         -3.865352482534945e-12    0                         0.06972634353101766       -4.440892098500626e-16    2.081668171172169e-17     
01 Jan 2028 21:07:12.000   50412.98134983419         -2.074784788419493e-12    0                         0.06820388413731143       4.440892098500626e-16     2.775557561562891e-17     
01 Jan 2028 21:21:36.000   50471.20713788893         4.547473508864641e-13     0                         0.06655766040239544       0                         0                         
01 Jan 2028 21:36:00.000   50527.95828532874         -1.904254531837068e-12    0                         0.0647909355828389        4.440892098500626e-16     -4.163336342344337e-17    
01 Jan 2028 21:50:24.000   50583.1321719497          5.286437954055145e-12     0                         0.06290717898899102       0                         1.387778780781446e-17     
01 Jan 2028 22:04:48.000   50636.62924534061         2.160049916710705e-12     9.094947017729282e-13     0.06091006067668719       4.440892098500626e-16     0                         
01 Jan 2028 22:19:12.000   50688.3532187712          -3.353761712787673e-12    0                         0.05880344444652841       0                         -2.775557561562891e-17    
01 Jan 2028 22:33:36.000   50738.21123024241         5.684341886080801e-14     0                         0.05659138221334396       -4.440892098500626e-16    -2.775557561562891e-17    
01 Jan 2028 22:48:00.000   50786.11398123307         -2.046363078989089e-12    0                         0.05427810789458051       -4.440892098500626e-16    0                         
01 Jan 2028 23:02:24.000   50831.97592426107         1.70530256582424e-13      0                         0.05186803067483153       4.440892098500626e-16     0                         
01 Jan 2028 23:16:48.000   50875.71538098832         -5.684341886080801e-14    0                         0.04936572963353693       -8.881784197001252e-16    0                         
01 Jan 2028 23:31:12.000   50917.2547133954          1.193711796076968e-12     -9.094947017729282e-13    0.04677594683793422       4.440892098500626e-16     0                         
01 Jan 2028 23:45:36.000   50956.52043643563         1.13686837721616e-13      4.547473508864641e-13     0.04410358169762799       4.440892098500626e-16     0                         
02 Jan 2028 00:00:00.000   50993.44337608985         5.684341886080801e-14     4.547473508864641e-13     0.04135368363235256       0                         -2.775557561562891e-17    
02 Jan 2028 00:14:24.000   51027.95877142465         -5.684341886080801e-14    -1.364242052659392e-12    0.03853144655786105       4.440892098500626e-16     5.551115123125783e-17     
02 Jan 2028 00:28:48.000   51060.00641761671         -1.13686837721616e-13     0                         0.03564220077330935       0                         2.775557561562891e-17     
02 Jan 2028 00:43:12.000   51089.53077170278         1.70530256582424e-13      0                         0.03269140626812739       0                         0                         
02 Jan 2028 00:57:36.000   51116.48105299217         9.094947017729282e-13     0                         0.02968464550310815       4.440892098500626e-16     2.775557561562891e-17     
02 Jan 2028 01:12:00.000   51140.81136451186         -6.252776074688882e-13    0                         0.02662761426348092       -4.440892098500626e-16    0                         
02 Jan 2028 01:26:24.000   51162.48076470774         3.979039320256561e-13     0                         0.02352611441272432       -4.440892098500626e-16    5.551115123125783e-17     
02 Jan 2028 01:40:48.000   51181.45338098408         2.216893335571513e-12     0                         0.02038604416157929       -4.440892098500626e-16    0                         
02 Jan 2028 01:55:12.000   51197.69846819097         7.389644451905042e-13     0                         0.01721338861394806       0                         0                         
02 Jan 2028 02:09:36.000   51211.1904823079          7.958078640513122e-13     4.547473508864641e-13     0.01401421087435076       4.440892098500626e-16     0                         
02 Jan 2028 02:24:00.000   51221.90915531754         2.046363078989089e-12     2.273736754432321e-13     0.01079464082536878       4.440892098500626e-16     -5.551115123125783e-17    
02 Jan 2028 02:38:24.000   51229.8395348148          -2.813749233609997e-12    -2.273736754432321e-13    0.007560866059518253      0                         5.551115123125783e-17     
02 Jan 2028 02:52:48.000   51234.97204057388         -7.389644451905042e-13    2.273736754432321e-13     0.004319120184384074      4.440892098500626e-16     0                         
02 Jan 2028 03:07:12.000   51237.30248893442         -1.179500941361766e-12    4.547473508864641e-13     0.001075673740183065      0                         0                         
02 Jan 2028 03:21:36.000   51236.832132148           3.964828465541359e-12     -3.410605131648481e-13    -0.002163177320797818     4.440892098500626e-16     5.551115123125783e-17     
02 Jan 2028 03:36:00.000   51233.56766453302         -1.918465386552271e-13    1.13686837721616e-13      -0.005391120311345821     -4.440892098500626e-16    -5.551115123125783e-17    
02 Jan 2028 03:50:24.000   51227.52124203953         4.298783551348606e-13     -3.694822225952521e-13    -0.008601836870114477     -8.881784197001252e-16    -5.551115123125783e-17    
02 Jan 2028 04:04:48.000   51218.71047538953         -1.374900193695794e-12    3.339550858072471e-13     -0.01178901087796903      -4.440892098500626e-16    0                         
02 Jan 2028 04:19:12.000   51207.15843085703         -7.133849067031406e-12    5.684341886080801e-13     -0.01494633873164072      0                         0                         
02 Jan 2028 04:33:36.000   51192.89360750392         1.676880856393836e-12     -1.13686837721616e-13     -0.01806753805339215      -4.440892098500626e-16    0                         
02 Jan 2028 04:48:00.000   51175.94993173826         -4.391154106997419e-12    -9.094947017729282e-13    -0.02114635706692477      -4.440892098500626e-16    0                         
02 Jan 2028 05:02:24.000   51156.36670155716         -2.415845301584341e-12    0                         -0.02417658566341552      0                         0                         
02 Jan 2028 05:16:48.000   51134.18856344814         -1.790567694115452e-12    6.821210263296962e-13     -0.02715206903991177      4.440892098500626e-16     0                         
02 Jan 2028 05:31:12.000   51109.46545067064         5.684341886080801e-13     -2.273736754432321e-13    -0.03006672360857751      -4.440892098500626e-16    0                         
02 Jan 2028 05:45:36.000   51082.25251429885         -2.017941369558685e-12    6.821210263296962e-13     -0.03291456063270022      -4.440892098500626e-16    -5.551115123125783e-17    
