xx 2000R06 IAU Theory of Nutation (1320 term) (Sorted for largest A terms, then for largest F terms)
xx  a1  a2  a3  a4  a5  a6  a7  a8  a9 a10 a11 a12 a13            A         B          C       D        E          F         G         H     #  all are 1e-06"
  0   0   0   0   1   0   0   0   0   0   0   0   0   0 -17206424.18 -17418.82  9205233.1  883.03   3338.6     1537.7      2.89       0.2     1
  0   0   2  -2   2   0   0   0   0   0   0   0   0   0  -1317091.22   -163.84   573033.6 -303.09  -1369.6     -458.7       1.2      -0.3     2
  0   0   2   0   2   0   0   0   0   0   0   0   0   0   -227641.81    -22.77    97846.1  -48.77    279.6      137.4       0.2      -0.1     3
  0   0   0   0   2   0   0   0   0   0   0   0   0   0     207455.4     20.12   -89749.2   47.25    -69.8      -29.1       0.0       0.0     4
  0   1   0   0   0   0   0   0   0   0   0   0   0   0     147587.7   -363.71     7387.1   -18.4   1181.7     -192.4      -1.5       0.5     5
  1   0   0   0   0   0   0   0   0   0   0   0   0   0      71115.9       7.1     -675.0       0    -87.2       35.8       0.0         0     6
  0   1   2  -2   2   0   0   0   0   0   0   0   0   0     -51682.1    122.74    22438.6   -67.7    -52.4      -17.4       0.2       0.0     7
  0   0   2   0   1   0   0   0   0   0   0   0   0   0     -38730.2    -36.59    20073.0     1.8     38.0       31.8       0.1       0.0     8
  1   0   2   0   2   0   0   0   0   0   0   0   0   0     -30146.4     -3.52    12902.6    -6.3     81.6       36.7       0.0       0.0     9
  0   1  -2   2  -2   0   0   0   0   0   0   0   0   0     -21582.9     49.46    -9592.9    29.9     11.1      -13.2       0.0       0.1    10
  1   0   0  -2   0   0   0   0   0   0   0   0   0   0     -15699.8     -0.96     -123.5       0    -16.8       -8.2       0.0         0    11
  0   0   2  -2   1   0   0   0   0   0   0   0   0   0      12822.7     13.66    -6898.2    -0.9     18.1        3.9       0.0       0.0    12
  1   0  -2   0  -2   0   0   0   0   0   0   0   0   0     -12345.7     -1.07    -5331.1     3.2      1.9        0.4       0.0       0.0    13
  0   0   0   2   0   0   0   0   0   0   0   0   0   0       6337.9      1.08     -122.0       0    -15.0        2.9       0.0         0    14
  1   0   0   0   1   0   0   0   0   0   0   0   0   0       6311.0      6.28    -3322.8       0      2.7       -0.9       0.0         0    15
  1   0  -2  -2  -2   0   0   0   0   0   0   0   0   0       5964.5      1.08     2554.5    -1.1     14.9       -6.6       0.0       0.0    16
  1   0   0   0  -1   0   0   0   0   0   0   0   0   0       5797.6      6.28     3142.9       0    -18.9        7.5       0.0         0    17
  1   0   2   0   1   0   0   0   0   0   0   0   0   0      -5161.3     -4.19     2636.6       0     12.9        7.8       0.0         0    18
  2   0   0  -2   0   0   0   0   0   0   0   0   0   0       4772.2     -0.01       47.7       0     -1.8        2.5       0.0         0    19
  2   0  -2   0  -1   0   0   0   0   0   0   0   0   0      -4589.3     -4.99    -2423.6    -1.0      3.1       -2.0       0.0       0.0    20
  0   0   2   2   2   0   0   0   0   0   0   0   0   0      -3856.6     -0.09     1645.0    -1.1     15.8        6.8       0.0       0.0    21
  0   2  -2   2  -2   0   0   0   0   0   0   0   0   0      -3248.1         0    -1387.0       0      0.0        0.0         0         0    22
  2   0   2   0   2   0   0   0   0   0   0   0   0   0      -3104.6     -0.09     1323.8    -1.1     13.1        5.9       0.0       0.0    23
  2   0   0   0   0   0   0   0   0   0   0   0   0   0       2924.3         0      -60.9       0     -7.4        1.3         0         0    24
  1   0   2  -2   2   0   0   0   0   0   0   0   0   0       2859.3         0    -1233.8     1.0     -0.1       -0.3         0       0.0    25
  0   0   2   0   0   0   0   0   0   0   0   0   0   0       2588.7         0      -55.0       0     -6.6        1.1         0         0    26
  0   0   2  -2   0   0   0   0   0   0   0   0   0   0      -2178.3         0      -16.7       0      1.3       -1.3         0         0    27
  1   0  -2   0  -1   0   0   0   0   0   0   0   0   0      -2044.1     -2.09    -1075.8       0      1.0        0.3       0.0         0    28
  0   2   0   0   0   0   0   0   0   0   0   0   0   0       1670.7      -8.5       16.8    -0.1     -1.0        1.0       0.0       0.0    29
  0   2   2  -2   2   0   0   0   0   0   0   0   0   0      -1579.4       7.2      685.0    -4.2     -1.6       -0.5       0.0       0.0    30
  1   0   0  -2  -1   0   0   0   0   0   0   0   0   0      -1516.4      -1.0     -800.1       0      1.1        0.1       0.0         0    31
  0   1   0   0   1   0   0   0   0   0   0   0   0   0      -1405.3      -2.5      855.1    -0.2      7.9       -4.5       0.0       0.0    32
  1   0   0  -2   1   0   0   0   0   0   0   0   0   0      -1287.3      -1.0      695.3       0     -3.7       -1.4       0.0         0    33
  0   1   0   0  -1   0   0   0   0   0   0   0   0   0       1265.4      -1.1      641.5       0      6.3       -2.6       0.0         0    34
  2   0  -2   0   0   0   0   0   0   0   0   0   0   0       1102.4         0       10.4       0     -1.4       -0.2         0         0    35
  1   0  -2  -2  -1   0   0   0   0   0   0   0   0   0       1020.4         0      522.2       0      2.5       -1.5         0         0    36
  1   0   2   2   2   0   0   0   0   0   0   0   0   0       -768.7         0      326.6       0      4.4        1.9         0         0    37
  0   1   2   0   2   0   0   0   0   0   0   0   0   0        756.6      -2.1     -325.0       0     -1.1       -0.5       0.0         0    38
  1   1   0  -2   0   0   0   0   0   0   0   0   0   0       -735.0         0       -5.1       0     -0.8       -0.4         0         0    39
  0   1  -2   0  -2   0   0   0   0   0   0   0   0   0        714.1      -2.1      307.0       0      0.8       -0.4       0.0         0    40
  0   0   2   2   1   0   0   0   0   0   0   0   0   0       -663.7      -1.1      335.3       0      2.5        1.4       0.0         0    41
  1   0   0   2   0   0   0   0   0   0   0   0   0   0        657.5         0      -19.9       0     -2.4        0.2         0         0    42
  2   0   2  -2   2   0   0   0   0   0   0   0   0   0        644.3         0     -276.8       0     -0.7       -0.4         0         0    43
  0   0   0   2   1   0   0   0   0   0   0   0   0   0       -630.2      -1.1      327.2       0      0.2        0.4       0.0         0    44
  1   0   2  -2   1   0   0   0   0   0   0   0   0   0        580.0       1.0     -304.5       0      0.2       -0.1       0.0         0    45
  2   0   0  -2  -1   0   0   0   0   0   0   0   0   0        577.4       1.1      304.1       0     -1.5        0.5       0.0         0    46
  2   0   2   0   1   0   0   0   0   0   0   0   0   0       -535.0         0      269.5       0      2.1        1.2         0         0    47
  0   0   0   2  -1   0   0   0   0   0   0   0   0   0        494.0       1.1      272.0       0     -2.1        0.9       0.0         0    48
  0   1  -2   2  -1   0   0   0   0   0   0   0   0   0        475.2       1.1      271.9       0     -0.3        0.3       0.0         0    49
  1  -1   0   0   0   0   0   0   0   0   0   0   0   0        472.5         0       -4.1       0     -0.6        0.3         0         0    50
  0   1   0  -2   0   0   0   0   0   0   0   0   0   0       -434.8         0       -8.1       0     -1.0       -0.2         0         0    51
  0   0   0   1   0   0   0   0   0   0   0   0   0   0       -423.0         0       -2.0       0      0.5       -0.2         0         0    52
  2   0   0  -2   1   0   0   0   0   0   0   0   0   0        406.5         0     -220.6       0      0.6        0.1         0         0    53
  1   0  -2   0   0   0   0   0   0   0   0   0   0   0        405.6         0        4.0       0      0.5        0.2         0         0    54
  1   0   0  -1   0   0   0   0   0   0   0   0   0   0       -402.6         0      -55.3       0    -35.3       13.9         0         0    55
  0   1   2  -2   1   0   0   0   0   0   0   0   0   0        357.9         0     -190.0       0      0.5        0.1         0         0    56
  1   1   0   0   0   0   0   0   0   0   0   0   0   0       -338.9         0        3.5       0      0.5       -0.2         0         0    57
  1   0   2   0   0   0   0   0   0   0   0   0   0   0        333.9         0      -10.7       0     -1.3        0.1         0         0    58
  1  -1   0  -1   0   0   0   0   0   0   0   0   0   0       -327.6         0       -0.9       0      0.1        0.0         0         0    59
  0   0   1  -1   1   0   0  -1   0  -2   5   0   0   0       -308.4         0      164.7       0    512.3      273.5         0         0    60
  2   0  -2   0  -2   0   0   0   0   0   0   0   0   0        307.1         0      131.1       0     -0.2        0.1         0         0    61
  3   0   2   0   2   0   0   0   0   0   0   0   0   0       -290.1         0      123.2       0      1.5        0.7         0         0    62
  1  -1   2   0   2   0   0   0   0   0   0   0   0   0       -287.8         0      123.2       0      0.8        0.4         0         0    63
